ID,Family_Number,Requirement_Number
1,3.1,3.1.15 
2,3.1,3.1.1
3,3.1,3.1.10 
4,3.1,3.1.11 
5,3.1,3.1.12 
6,3.1,3.1.13 
7,3.1,3.1.14
8,3.1,3.1.16 
9,3.1,3.1.17 
10,3.1,3.1.18 
11,3.1,3.1.19 
12,3.1,3.1.2
13,3.1,3.1.20 
14,3.1,3.1.21 
15,3.1,3.1.22 
16,3.1,3.1.3
17,3.1,3.1.4
18,3.1,3.1.5 
19,3.1,3.1.6 
20,3.1,3.1.7 
21,3.1,3.1.8 
22,3.1,3.1.9 
23,3.10,3.10.1 
24,3.10,3.10.2 
25,3.10,3.10.3 
26,3.10,3.10.4 
27,3.10,3.10.5 
28,3.10,3.10.6 
29,3.11,3.11.1 
30,3.11,3.11.2 
31,3.11,3.11.3 
32,3.12,3.12.1 
33,3.12,3.12.2 
34,3.12,3.12.3 
35,3.12,3.12.4 
36,3.13,3.13.1 
37,3.13,3.13.10 
38,3.13,3.13.11 
39,3.13,3.13.12 
40,3.13,3.13.13 
41,3.13,3.13.14 
42,3.13,3.13.15 
43,3.13,3.13.16 
44,3.13,3.13.2 
45,3.13,3.13.3 
46,3.13,3.13.4 
47,3.13,3.13.5 
48,3.13,3.13.6 
49,3.13,3.13.7 
50,3.13,3.13.8 
51,3.13,3.13.9 
52,3.14,3.14.1 
53,3.14,3.14.2 
54,3.14,3.14.3 
55,3.14,3.14.4 
56,3.14,3.14.5 
57,3.14,3.14.6 
58,3.14,3.14.7 
59,3.2,3.2.1 
60,3.2,3.2.2 
61,3.2,3.2.3 
62,3.3,3.3.1 
63,3.3,3.3.2 
64,3.3,3.3.3 
65,3.3,3.3.4 
66,3.3,3.3.5 
67,3.3,3.3.6 
68,3.3,3.3.7 
69,3.3,3.3.8 
70,3.3,3.3.9 
71,3.4,3.4.1 
72,3.4,3.4.2 
73,3.4,3.4.3 
74,3.4,3.4.4 
75,3.4,3.4.5 
76,3.4,3.4.6 
77,3.4,3.4.7 
78,3.4,3.4.8 
79,3.4,3.4.9 
80,3.5,3.5.1 
81,3.5,3.5.10 
82,3.5,3.5.11 
83,3.5,3.5.2 
84,3.5,3.5.3 
85,3.5,3.5.4 
86,3.5,3.5.5 
87,3.5,3.5.6 
88,3.5,3.5.7 
89,3.5,3.5.8 
90,3.5,3.5.9 
91,3.6,3.6.1 
92,3.6,3.6.2 
93,3.6,3.6.3 
94,3.7,3.7.1 
95,3.7,3.7.2 
96,3.7,3.7.3 
97,3.7,3.7.4 
98,3.7,3.7.5 
99,3.7,3.7.6 
100,3.8,3.8.1 
101,3.8,3.8.2 
102,3.8,3.8.3 
103,3.8,3.8.4 
104,3.8,3.8.5 
105,3.8,3.8.6 
106,3.8,3.8.7 
107,3.8,3.8.8 
108,3.8,3.8.9 
109,3.9,3.9.1 
110,3.9,3.9.2 
