Objective_Number,Objective_Text,Objective_Satisfied,Objective_Other_Than_Satisfied,Documents_Examined_Details,SME_Interviewed_Names,Validation_Text,Notes,Standard
3.1.1[a],authorized users are identified.,false,false,,,,,Document
3.1.1[b],processes acting on behalf of authorized users are identified.,false,false,,,,,Document
3.1.1[c],devices (and other systems) authorized to connect to the system are identified.,false,false,,,,,Document
3.1.1[d],system access is limited to authorized users.,false,false,,,,,Screen Share
3.1.1[e],system access is limited to processes acting on behalf of authorized users.,false,false,,,,,Screen Share
3.1.1[f],system access is limited to authorized devices (including other systems).,false,false,,,,,Screen Share
3.1.10[a],the period of inactivity after which the system initiates a session lock is defined.,false,false,,,,,Document
3.1.10[b],access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity.,false,false,,,,,Artifact
3.1.10[c],previously visible information is concealed via a pattern-hiding display after the defined period of inactivity.,false,false,,,,,Document
3.1.11[a],conditions requiring a user session to terminate are defined.,false,false,,,,,Document
3.1.11[b],a user session is automatically terminated after any of the defined conditions occur.,false,false,,,,,Screen Share
3.1.12[a],remote access sessions are permitted.,false,false,,,,,Document
3.1.12[b],the types of permitted remote access are identified.,false,false,,,,,Document
3.1.12[c],remote access sessions are controlled.,false,false,,,,,Screen Share
3.1.12[d],remote access sessions are monitored.,false,false,,,,,Screen Share
3.1.13[a],cryptographic mechanisms to protect the confidentiality of remote access sessions are identified.,false,false,,,,,Document
3.1.13[b],cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented.,false,false,,,,,Screen Share
3.1.14[a],managed access control points are identified and implemented.,false,false,,,,,Screen Share
3.1.14[b],remote access is routed through managed network access control points.,false,false,,,,,Screen Share
3.1.15[a],privileged commands authorized for remote execution are identified.,false,false,,,,,Document
3.1.15[b],security-relevant information authorized to be accessed remotely is identified.,false,false,,,,,Document
3.1.15[c],the execution of the identified privileged commands via remote access is authorized.,false,false,,,,,Artifact
3.1.15[d],access to the identified security-relevant information via remote access is authorized.,false,false,,,,,Artifact
3.1.16[a],wireless access points are identified.,false,false,,,,,Document
3.1.16[b],wireless access is authorized prior to allowing such connections.,false,false,,,,,Screen Share
3.1.17[a],wireless access to the system is protected using authentication.,false,false,,,,,Screen Share
3.1.17[b],wireless access to the system is protected using encryption.,false,false,,,,,Screen Share
3.1.18[a],"mobile devices that process, store, or transmit CUI are identified.",false,false,,,,,Document
3.1.18[b],mobile device connections are authorized.,false,false,,,,,Artifact
3.1.18[c],mobile device connections are monitored and logged.,false,false,,,,,Screen Share
3.1.19[a],"mobile devices and mobile computing platforms that process, store, or transmit CUI are identified.",false,false,,,,,Document
3.1.19[b],encryption is employed to protect CUI on identified mobile devices and mobile computing platforms.,false,false,,,,,Screen Share
3.1.2[a],the types of transactions and functions that authorized users are permitted to execute are defined.,false,false,,,,,Document
3.1.2[b],system access is limited to the defined types of transactions and functions for authorized users.,false,false,,,,,Screen Share
3.1.20[a],connections to external systems are identified.,false,false,,,,,Document
3.1.20[b],the use of external systems is identified.,false,false,,,,,Document
3.1.20[c],connections to external systems are verified.,false,false,,,,,Artifact
3.1.20[d],the use of external systems is verified.,false,false,,,,,Artifact
3.1.20[e],connections to external systems are controlled/limited.,false,false,,,,,Screen Share
3.1.20[f],the use of external systems is controlled/limited.,false,false,,,,,Screen Share
3.1.21[a],the use of portable storage devices containing CUI on external systems is identified and documented.,false,false,,,,,Document
3.1.21[b],limits on the use of portable storage devices containing CUI on external systems are defined.,false,false,,,,,Document
3.1.21[c],the use of portable storage devices containing CUI on external systems is limited as defined.,false,false,,,,,Document
3.1.22[a],individuals authorized to post or process information on publicly accessible systems are identified.,false,false,,,,,Document
3.1.22[b],procedures to ensure CUI is not posted or processed on publicly accessible systems are identified.,false,false,,,,,Document
3.1.22[c],a review process is in place prior to posting of any content to publicly accessible systems.,false,false,,,,,Artifact
3.1.22[d],content on publicly accessible systems is reviewed to ensure that it does not include CUI.,false,false,,,,,Artifact
3.1.22[e],mechanisms are in place to remove and address improper posting of CUI.,false,false,,,,,Artifact
3.1.3[a],information flow control policies are defined.,false,false,,,,,Document
3.1.3[b],methods and enforcement mechanisms for controlling the flow of CUI are defined.,false,false,,,,,Document
3.1.3[c],"designated sources and destinations (e.g., networks, individuals, and devices) for CUI within the system and between interconnected systems are identified.",false,false,,,,,Artifact
3.1.3[d],authorizations for controlling the flow of CUI are defined.,false,false,,,,,Document
3.1.3[e],approved authorizations for controlling the flow of CUI are enforced.,false,false,,,,,Screen Share
3.1.4[a],the duties of individuals requiring separation are defined.,false,false,,,,,Document
3.1.4[b],responsibilities for duties that require separation are assigned to separate individuals.,false,false,,,,,Screen Share
3.1.4[c],access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals.,false,false,,,,,Screen Share
3.1.5[a],privileged accounts are identified.,false,false,,,,,Document
3.1.5[b],access to privileged accounts is authorized in accordance with the principle of least privilege.,false,false,,,,,Artifact
3.1.5[c],security functions are identified.,false,false,,,,,Document
3.1.5[d],access to security functions is authorized in accordance with the principle of least privilege.,false,false,,,,,Artifact
3.1.6[a],nonsecurity functions are identified.,false,false,,,,,Document
3.1.6[b],users are required to use non-privileged accounts or roles when accessing nonsecurity functions.,false,false,,,,,Screen Share
3.1.7[a],privileged functions are defined.,false,false,,,,,Document
3.1.7[b],non-privileged users are defined.,false,false,,,,,Document
3.1.7[c],non-privileged users are prevented from executing privileged functions.,false,false,,,,,Screen Share
3.1.7[d],the execution of privileged functions is captured in audit logs.,false,false,,,,,Screen Share
3.1.8[a],the means of limiting unsuccessful logon attempts is defined.,false,false,,,,,Document
3.1.8[b],the defined means of limiting unsuccessful logon attempts is implemented.,false,false,,,,,Artifact
3.1.9[a],"privacy and security notices required by CUI-specified rules are identified, consistent, and associated with the specific CUI category.",false,false,,,,,Document
3.1.9[b],privacy and security notices are displayed.,false,false,,,,,Artifact
3.10.1[a],authorized individuals allowed physical access are identified.,false,false,,,,,Artifact
3.10.1[b],physical access to organizational systems is limited to authorized individuals.,false,false,,,,,Physical Review
3.10.1[c],physical access to equipment is limited to authorized individuals.,false,false,,,,,Physical Review
3.10.1[d],physical access to operating environments is limited to authorized individuals.,false,false,,,,,Physical Review
3.10.2[a],the physical facility where organizational systems reside is protected.,false,false,,,,,Physical Review
3.10.2[b],the support infrastructure for organizational systems is protected.,false,false,,,,,Physical Review
3.10.2[c],the physical facility where organizational systems reside is monitored.,false,false,,,,,Physical Review
3.10.2[d],the support infrastructure for organizational systems is monitored.,false,false,,,,,Physical Review
